repondant_id,date_debut,duree_secondes,progression_pct,termine,age,genre,secteur,taille_entreprise,anciennete_annees,q1_ambiance,q2_reconnaissance,q3_charge_travail_inv,q4_evolution,q_attention,q5_recommandation,commentaire
R0207,2024-03-23,309,100,True,38,Homme,Industrie,Grande (>250),9.9,4,4,4,2.0,4.0,3.0,
R0208,2024-03-30,349,100,True,25,Homme,Industrie,Petite (<50),1.5,5,3,5,3.0,4.0,2.0,
R0209,2024-03-08,207,100,True,31,Homme,Santé,Petite (<50),8.6,4,1,2,2.0,4.0,5.0,
R0210,2024-03-24,359,100,True,41,Homme,Industrie,Moyenne (50-250),9.6,5,4,1,5.0,4.0,4.0,Rien de particulier à signaler.
R0211,2024-03-08,156,100,True,49,Homme,Santé,Petite (<50),3.1,3,1,5,3.0,4.0,4.0,
R0212,2024-03-22,309,100,True,44,Autre / ne se prononce pas,Industrie,Petite (<50),8.8,4,3,2,1.0,4.0,4.0,"Bonne équipe, charge de travail parfois difficile à gérer."
R0213,2024-03-24,296,100,True,20,Femme,Industrie,Moyenne (50-250),8.8,3,2,3,3.0,4.0,4.0,"Bonne équipe, charge de travail parfois difficile à gérer."
R0214,2024-03-14,224,100,True,41,Homme,Industrie,Moyenne (50-250),3.3,3,2,3,5.0,4.0,2.0,"Bonne équipe, charge de travail parfois difficile à gérer."
R0215,2024-03-23,277,100,True,38,Homme,Technologies,Grande (>250),0.4,4,3,4,4.0,4.0,4.0,
R0216,2024-03-09,223,100,True,42,Femme,Technologies,Moyenne (50-250),0.1,4,3,2,5.0,2.0,4.0,
R0217,2024-03-03,183,100,True,54,Femme,Services aux entreprises,Grande (>250),6.4,4,2,3,2.0,2.0,4.0,
R0218,2024-03-03,248,84,False,20,Femme,Commerce,Moyenne (50-250),7.6,5,4,4,,,,
R0219,2024-03-14,180,100,True,32,Homme,Industrie,Grande (>250),2.0,4,3,2,2.0,4.0,3.0,
R0220,2024-03-28,309,100,True,43,Homme,Services aux entreprises,Moyenne (50-250),6.1,3,4,3,3.0,4.0,2.0,
R0221,2024-03-04,176,100,True,22,Autre / ne se prononce pas,Commerce,Moyenne (50-250),8.9,5,3,3,2.0,4.0,3.0,
R0222,2024-03-14,344,100,True,52,Homme,Services aux entreprises,Grande (>250),9.1,4,2,2,2.0,4.0,4.0,
R0223,2024-03-22,173,100,True,41,Autre / ne se prononce pas,Technologies,Moyenne (50-250),13.8,3,2,3,2.0,4.0,4.0,
R0224,2024-03-07,229,100,True,46,Femme,Santé,Petite (<50),12.4,3,1,3,4.0,4.0,2.0,
R0225,2024-03-22,223,100,True,32,Homme,Services aux entreprises,Grande (>250),1.0,3,3,3,4.0,4.0,3.0,
R0226,2024-03-10,399,100,True,46,Femme,Industrie,Grande (>250),14.4,5,3,3,3.0,4.0,3.0,
R0227,2024-03-25,309,100,True,48,Homme,Commerce,Petite (<50),3.3,3,1,3,2.0,4.0,3.0,"Bonne équipe, charge de travail parfois difficile à gérer."
R0228,2024-03-18,260,100,True,40,Homme,Santé,Moyenne (50-250),11.2,4,2,3,3.0,4.0,2.0,Le management pourrait davantage communiquer sur les décisions.
R0229,2024-03-17,324,100,True,40,Homme,Services aux entreprises,Grande (>250),6.3,4,2,4,2.0,4.0,2.0,Rien de particulier à signaler.
R0230,2024-03-06,90,100,True,40,Homme,Technologies,Grande (>250),3.9,4,5,5,4.0,4.0,3.0,
R0231,2024-03-14,276,100,True,29,Femme,Services aux entreprises,Grande (>250),0.0,3,1,3,4.0,4.0,4.0,
R0232,2024-03-26,459,100,True,36,Femme,Industrie,Moyenne (50-250),5.1,3,2,4,4.0,4.0,2.0,
R0233,2024-03-01,291,100,True,36,Femme,Santé,Grande (>250),0.0,4,4,3,2.0,4.0,3.0,
R0234,2024-03-23,286,100,True,41,Femme,Technologies,Moyenne (50-250),10.8,4,4,4,1.0,4.0,5.0,"Bonne équipe, charge de travail parfois difficile à gérer."
R0235,2024-03-15,329,100,True,47,Homme,Santé,Grande (>250),13.6,4,2,5,1.0,4.0,2.0,
R0236,2024-03-22,360,100,True,27,Homme,Santé,Moyenne (50-250),2.0,3,2,4,4.0,4.0,3.0,"L'ambiance générale est agréable, mais les perspectives d'évolution manquent de clarté."
R0237,2024-03-20,100,100,True,36,Homme,Commerce,Grande (>250),7.5,4,4,2,2.0,4.0,5.0,
R0238,2024-03-13,128,100,True,52,Homme,Commerce,Moyenne (50-250),2.4,3,1,4,2.0,4.0,3.0,Rien de particulier à signaler.
R0239,2024-03-10,298,100,True,30,Homme,Commerce,Moyenne (50-250),2.9,3,1,5,5.0,4.0,3.0,
R0240,2024-03-19,215,100,True,29,Homme,Santé,Grande (>250),9.9,3,3,3,4.0,4.0,5.0,
R0241,2024-03-05,398,100,True,40,Femme,Services aux entreprises,Moyenne (50-250),5.8,5,5,4,3.0,4.0,3.0,
R0242,2024-03-18,251,100,True,46,Femme,Services aux entreprises,Grande (>250),14.7,4,3,3,3.0,4.0,5.0,Rien de particulier à signaler.
R0243,2024-03-03,105,100,True,38,Homme,Santé,Moyenne (50-250),3.6,4,3,2,3.0,4.0,4.0,
R0244,2024-03-20,165,77,False,51,Homme,Technologies,Moyenne (50-250),11.0,5,4,3,,,,
R0245,2024-03-19,32,100,True,46,Femme,Santé,Moyenne (50-250),6.5,5,5,2,5.0,4.0,4.0,
R0246,2024-03-03,258,100,True,46,Homme,Santé,Moyenne (50-250),10.0,2,2,3,3.0,4.0,4.0,
R0247,2024-03-23,263,100,True,43,Homme,Industrie,Moyenne (50-250),3.8,3,3,5,4.0,4.0,5.0,Rien de particulier à signaler.
R0248,2024-03-13,241,100,True,61,Femme,Commerce,Petite (<50),5.8,3,5,1,4.0,4.0,3.0,
R0249,2024-03-24,377,100,True,35,Femme,Technologies,Petite (<50),5.4,3,1,2,2.0,4.0,4.0,"Bonne équipe, charge de travail parfois difficile à gérer."
R0250,2024-03-02,387,100,True,20,Homme,Santé,Grande (>250),1.8,3,4,2,4.0,4.0,3.0,Rien de particulier à signaler.
R0251,2024-03-06,264,100,True,54,Homme,Industrie,Grande (>250),9.3,3,2,3,3.0,5.0,4.0,
R0252,2024-03-15,87,55,False,33,Femme,Commerce,Grande (>250),9.3,2,3,3,,,,
R0253,2024-03-06,335,100,True,39,Homme,Services aux entreprises,Petite (<50),9.0,4,3,5,1.0,4.0,5.0,Le management pourrait davantage communiquer sur les décisions.
R0254,2024-03-10,329,100,True,51,Femme,Technologies,Moyenne (50-250),13.7,4,2,4,2.0,4.0,4.0,"L'ambiance générale est agréable, mais les perspectives d'évolution manquent de clarté."
R0255,2024-03-20,307,63,False,21,Homme,Industrie,Petite (<50),13.2,4,2,4,,,,
R0256,2024-03-05,368,100,True,25,Femme,Technologies,Grande (>250),4.1,4,3,3,3.0,4.0,5.0,"L'ambiance générale est agréable, mais les perspectives d'évolution manquent de clarté."
R0257,2024-03-21,175,100,True,21,Homme,Commerce,Grande (>250),7.9,4,4,4,3.0,4.0,5.0,
R0258,2024-03-04,460,100,True,30,Femme,Commerce,Petite (<50),2.9,3,3,2,5.0,4.0,5.0,"Bonne équipe, charge de travail parfois difficile à gérer."
R0259,2024-03-06,193,100,True,42,Femme,Services aux entreprises,Grande (>250),6.1,5,3,4,2.0,4.0,5.0,
R0260,2024-03-18,347,100,True,43,Homme,Services aux entreprises,Petite (<50),3.0,4,4,2,3.0,4.0,4.0,Rien de particulier à signaler.
