avis_id,entreprise_id,date,canal,note,texte_avis
A0129,E062,2023-12-14,Application mobile,1,"Une expérience décevante, je ne recommande pas."
A0217,E021,2023-12-14,Réseaux sociaux,1,Le site est peu clair et difficile à utiliser.
A0237,E042,2023-12-14,Application mobile,1,"  Le service est standard, comme ailleurs.   "
A0017,E013,2023-12-16,Application mobile,4,Rien à signaler de particulier.!!!
A0221,E038,2023-12-17,Application mobile,5,Le service client a été très réactif. Très bonne expérience du début à la fin.
A0118,E077,2023-12-17,Site web,2,Le service après-vente n'a jamais répondu.
A0110,E008,2023-12-17,Site web,2,
A0162,E020,2023-12-19,Site web,5,Le service client a été très réactif. L'équipe a été à l'écoute de mes besoins.
A0222,E042,2023-12-20,Réseaux sociaux,4,Le produit correspond parfaitement à mes attentes. Le service client a été très réactif.
A0075,E053,2023-12-21,Réseaux sociaux,5,Le produit correspond parfaitement à mes attentes.
A0119,E010,2023-12-21,Application mobile,1,Le prix ne correspond pas du tout à la qualité.
A0230,E036,2023-12-23,Site web,3,Le produit correspond parfaitement à mes attentes.!!!
A0036,E020,2023-12-24,Site web,1,Le délai de livraison a été beaucoup trop long.
A0111,E009,2023-12-26,Application mobile,4,"Livraison rapide, je suis très satisfait. Le service client a été très réactif."
A0218,E025,2023-12-26,Application mobile,4,Le produit correspond parfaitement à mes attentes. Très bonne expérience du début à la fin.
A0259,E048,2023-12-28,Application mobile,2,JE SUIS DÉÇU PAR LA QUALITÉ DU PRODUIT.
A0296,E031,2023-12-31,Application mobile,5,"Une expérience correcte, sans plus."
